year,country,sex,name,count,prop,ranking,rank_other
1997,E,M,ELLIOTT,600,0.00192397107630149,85,114
1997,E,M,SHAUN,585,0.00187587179939395,86,56
1997,E,M,CURTIS,581,0.00186304532555194,87,53
1997,E,M,MARCUS,581,0.00186304532555194,87,110
1997,E,M,ALFIE,559,0.00179249971942089,89,351
1997,E,M,MUHAMMAD,541,0.00173478058713184,90,216
1997,E,M,JOSH,538,0.00172516073175033,91,103
1997,E,M,TIMOTHY,519,0.00166423498100079,92,122
1997,E,M,HARVEY,512,0.00164178865177727,93,153
1997,E,M,CRAIG,508,0.00162896217793526,94,97
1997,E,M,RORY,507,0.00162575555947476,95,114
1997,E,M,KANE,506,0.00162254894101425,96,112
1997,E,M,DANNY,505,0.00161934232255375,97,133
1997,E,M,CALUM,503,0.00161292908563275,98,94
1997,E,M,CHRISTIAN,503,0.00161292908563275,98,101
1997,E,M,ISAAC,497,0.00159368937486973,100,143
1997,W,F,CHLOE,498,0.029623460829219,1,1
1997,W,F,EMILY,388,0.0230801261079055,2,2
1997,W,F,SOPHIE,387,0.0230206412468027,3,3
1997,W,F,LAUREN,368,0.0218904288858486,4,9
1997,W,F,JESSICA,367,0.0218309440247457,5,4
1997,W,F,MEGAN,350,0.0208197013859973,6,6
1997,W,F,HANNAH,341,0.0202843376360716,7,7
1997,W,F,REBECCA,304,0.0180833977752662,8,8
1997,W,F,GEORGIA,290,0.0172506097198263,9,10
1997,W,F,BETHAN,275,0.0163583368032836,10,102
1997,W,F,SHANNON,274,0.0162988519421807,11,16
1997,W,F,KATIE,244,0.0145143061090952,12,15
1997,W,F,COURTNEY,242,0.0143953363868895,13,20
1997,W,F,CHARLOTTE,218,0.0129676997204212,14,5
1997,W,F,FFION,205,0.0121943965260841,15,638
1997,W,F,AMY,199,0.011837487359467,16,11
1997,W,F,LUCY,199,0.011837487359467,16,12
1997,W,F,EMMA,164,0.00975551722086729,18,14
1997,W,F,ABIGAIL,157,0.00933912319314734,19,24
1997,W,F,RACHEL,139,0.00826839569329606,20,29
1997,W,F,JADE,136,0.00808994110998751,21,25
1997,W,F,MOLLY,135,0.00803045624888466,22,22
1997,W,F,LAURA,121,0.00719766819344477,23,17
1997,W,F,LEAH,119,0.00707869847123907,24,37
1997,W,F,CHELSEA,115,0.00684075902682767,25,35
1997,W,F,OLIVIA,113,0.00672178930462197,26,19
1997,W,F,ELLIE,110,0.00654333472131343,27,27
1997,W,F,LOWRI,105,0.00624591041579918,28,1181
1997,W,F,SARAH,103,0.00612694069359348,29,23
